IdProductoBodega,IdProducto,producto_codigo,producto_nombre,IdUbicacion,ubicacion_codigo,IdProductoEstado,estado,Lote,lic_plate,filas_duplicadas,un_totales,primera_fecha,ultima_fecha
1491,299,WMS89,CHAMPINONES KILLIOS 24/400GRMS 14.1OZ,677,2C1,1,BUEN ESTADO,772,FU05748,2,24.0,2026-01-16 11:26:22.220000,2026-01-16 11:26:22.220000
341,69,WMS157,GARBANZO KILLIOS 24/400 GR 14OZ,74,2B1,1,BUEN ESTADO,258X,FU06418,2,24.0,2026-02-05 11:29:20.053000,2026-02-05 11:29:20.053000
396,80,WMS169,CHILE PIMIENTO KILLIOS 24/185 GR 6.5OZ,784,4A1,16,MAL ESTADO,23200CM,FU07429,2,24.0,2026-02-28 09:01:05.723000,2026-02-28 09:01:05.723000
396,80,WMS169,CHILE PIMIENTO KILLIOS 24/185 GR 6.5OZ,784,4A1,16,MAL ESTADO,23200CM,FU07431,2,24.0,2026-02-28 09:02:15.770000,2026-02-28 09:02:15.770000
126,26,WMS115,MIEL LOS TILOS 24/500GR 17.6OZ,538,4D4,1,BUEN ESTADO,11625,FU05346,2,24.0,2026-01-07 11:02:30.797000,2026-01-07 11:02:30.797000
91,19,WMS109,MIEL LOS TILOS OSO 24/340GR 12OZ,513,3C3,1,BUEN ESTADO,6525,0,2,24.0,2025-11-29 08:59:14,2025-11-29 08:59:38
76,16,WMS106,GUINDA KILLIOS 24/454GR 16OZ,467,1A2,1,BUEN ESTADO,6S2509,FU04661,2,24.0,2025-12-05 15:04:17.363000,2025-12-05 15:04:17.363000
86,18,WMS108,MIEL LOS TILOS 24/730GR 25.8OZ,537,4C4,1,BUEN ESTADO,10425,0,2,24.0,2025-11-28 15:12:32,2025-11-28 15:12:32
86,18,WMS108,MIEL LOS TILOS 24/730GR 25.8OZ,537,4C4,1,BUEN ESTADO,11125,FU05342,2,24.0,2026-01-07 10:54:55.427000,2026-01-07 10:54:55.427000
36,8,WMS387,TOMATE DESHIDRATADO EN ACEITE KILLIOS-PREMIO 12/200GR,751,2D2,1,BUEN ESTADO,11042025105,FU05187,2,24.0,2025-12-29 07:54:41.887000,2025-12-29 07:54:41.887000
531,107,WMS193,DULCE DE LECHE LA CONDESA MANGA 30/1lbs.,372,2B3,1,BUEN ESTADO,HP1489/L2,0,2,24.0,2025-11-29 09:12:43,2025-11-29 09:12:43
406,82,WMS170,PIMIENTO MORRON KILLIOS 12/390GR 13.5OZ,720,PICKING,1,BUEN ESTADO,24345CM,0,2,24.0,2025-11-28 15:12:20,2025-11-28 15:12:20
456,92,WMS18,ESPARRAGOS VERDES MIGUELS VIDRIO 12/330GR 11.64OZ,845,3B1,1,BUEN ESTADO,DLF25334,0,2,24.0,2025-11-29 10:03:40,2025-11-29 10:03:40
881,177,WMS26,SALSA MARIE SHARPS CACTUS HABANERO MORINGA 12/10OZ,720,PICKING,1,BUEN ESTADO,A015,FU08866,2,24.0,2026-04-21 07:19:21.267000,2026-04-21 07:19:21.267000
341,69,WMS157,GARBANZO KILLIOS 24/400 GR 14OZ,73,2A1,1,BUEN ESTADO,188X,FU06012,2,21.0,2026-01-26 13:53:42.850000,2026-01-26 13:53:42.850000
106,22,WMS111,MOLDE FRUTALIA NO. 4 20/500 UNID.,1052,MERMA GYK,2,DESTRUIR,2510,P1000122,2,20.0,2025-12-04 18:05:33.033000,2025-12-04 18:05:33.033000
1316,264,WMS56,MAIZ DULCE MIGUELS 24/425GR 15OZ,748,2A2,1,BUEN ESTADO,E2F8055,F3000224,2,20.0,2025-12-09 08:22:40.660000,2025-12-09 08:22:42.073000
1311,263,WMS55,MAIZ DULCE MIGUELS 24/241GR 8.5OZ,235,4C1,1,BUEN ESTADO,E5F7265,F3000207,2,20.0,2025-12-05 08:24:58.583000,2025-12-05 08:24:58.583000
1311,263,WMS55,MAIZ DULCE MIGUELS 24/241GR 8.5OZ,235,4C1,1,BUEN ESTADO,E5F8044,FU06765,2,20.0,2026-02-11 08:39:10.347000,2026-02-11 08:39:10.347000
1276,256,WMS48,PERAS VIDRIO MIGUELS MITADES FRASCO 12/908GR 32OZ,416,1B4,1,BUEN ESTADO,2223924,0,2,18.0,2025-11-28 13:48:57,2025-11-29 08:38:49
726,146,WMS229,MELOCOTON KILLIOS MITADES 12/820 GR 29OZ,133,2A1,1,BUEN ESTADO,24249,FU06720,2,18.0,2026-02-10 10:44:03.050000,2026-02-10 10:44:03.050000
691,139,WMS222,OBLEAS CON AREQUIPE LA CONDESA 12/280 GRS,47,6A3,1,BUEN ESTADO,HP1528/L4,FU05552,2,18.0,2026-01-13 12:08:56.550000,2026-01-13 12:08:56.550000
690,138,WMS221,MANDARINA EN ALMIBAR MIGUELS 12/800GR,1187,8C1,1,BUEN ESTADO,24642,0,2,18.0,2025-05-28 17:38:59,2025-05-28 17:38:59
1330,266,WMS58,CEBOLLITAS PERLA DON LAZARO 6/890GR 31.8OZ,1456,MERMA,1,BUEN ESTADO,18032025103,57000043,2,17.0,2025-06-07 23:52:03.297000,2025-06-07 23:52:03.297000
771,155,WMS237,ACEITUNA EXCELENCIA DOYPACK S/HUESO 16/170 GR 6OZ,424,2B1,1,BUEN ESTADO,25260AG,FU06363,2,16.0,2026-02-04 10:55:03.343000,2026-02-04 10:55:03.343000
396,80,WMS169,CHILE PIMIENTO KILLIOS 24/185 GR 6.5OZ,784,4A1,16,MAL ESTADO,23200CM,FU07684,2,16.0,2026-03-11 08:24:43.023000,2026-03-11 08:24:43.023000
366,74,WMS161,GARBANZOS KILLIOS 12/800 GR 28OZ,75,2C1,1,BUEN ESTADO,191X,FU07392,2,16.0,2026-02-27 08:29:25.227000,2026-02-27 08:29:25.227000
691,139,WMS222,OBLEAS CON AREQUIPE LA CONDESA 12/280 GRS,47,6A3,1,BUEN ESTADO,HP1548/L4,FU07485,2,14.0,2026-03-03 12:08:38.033000,2026-03-03 12:08:38.033000
406,82,WMS170,PIMIENTO MORRON KILLIOS 12/390GR 13.5OZ,512,3B3,1,BUEN ESTADO,23209CM,0,2,14.0,2025-11-28 17:01:03,2025-11-28 17:01:03
2199,315,WMS282,ACEITE OLIVA VIRGEN EXTRA LA ESPANOLA 12/250ML,11,2A1,1,BUEN ESTADO,05225,0,2,14.0,2025-11-29 16:33:17.893000,2025-11-29 16:33:17.893000
2199,315,WMS282,ACEITE OLIVA VIRGEN EXTRA LA ESPANOLA 12/250ML,758,2C4,1,BUEN ESTADO,05225,0,2,12.0,2025-11-29 16:33:17.893000,2025-11-29 16:33:17.893000
1381,277,WMS68,GUINDAS FRUTALIA SIN TALLO 12/908GR 32OZ,366,2D1,1,BUEN ESTADO,2S2508,FU04587,2,12.0,2025-12-04 18:59:55.860000,2025-12-04 18:59:55.860000
